name,countryId
Horizon Food company ( Gelato Divino),2
HRM company Ltd. ( Industrial Project Maintain  and support service,2
HUNGRY DIST,2
Hussain Bin Muhammad Dahneim General Contracting Est,2
Hussain Mohammad Al-Labad for General Contracting Est Group 2th,2
Hussein Ali Al-Muhammad Ali General Contracting Est,2
HYUNDAI HEAVY INDUSTRIES(MARAFIQ PROJECT),2
I PEC KOREAN COMPANY,2
Ibaa Food Company is a one person company,2
IDEAL PRE-CAST COMPANY (SAUDI HADIAD COMPNAY),2
IDEAL PRECASTING COMPANY ,2
Ijaz and Injaz General Contracting Est,2
Imdad Advanced Land Transport Corporation,2
Indian light restaurant for serving meals,2
INDIVIDUAL TRANSFER FOR HUSSEIN IBRAHIM AL-HABIB,2
INDUSTRIAL CONSTRUCTION SERVICES,2
Integrated healthy food company to provide meals,2
IPC,2
IRAQI TASTE RESTAURANT,2
ITGAN AL-AASEMA FACTORY FOR BLASTIC,2
"JADDARAH, WORKFORCE SERVICES COMPANY",2
JAF Arabia Company,2
JAL INTERNATIONAL COMPANY LTD.,2
Jalal Adel Bin Habib Al-Halimi Car Services Workshop,2
Jalal Rahim Bin Abdul Rahman Al Maghribi Café for serving drinks (299698),2
Jalal Rahim bin Abdul Rahman Al Maghribi Contracting Est (299699),2
JAMAAN ABDULLAH M.EST FOR CONTRACTING.,2
JASSIM AL-HAMDAN CONTRACTING EST,2
JAVA TIMES,2
Jawza Nafeh Dhaifallah Al-Harbi Maintenance Est,2
Jazeel Al Ataa Trading Company,2
JAZEERAT BIN,2
Jazirat Al-Binaa Trading Company,2
Jeddah steel factory,2
JEDDAH STEEL FACTORY CO(EASTERN RECRUITMENT COMPANY),2
JEDDHYA BAKERY,2
JEDDHYA STEEL 2019,2
JOAN WEST CAR WASH,2
JOMAN RESTAURANT,2
JOUD AL-AMAL TRADING SERVIES COMPANY,2
JR'S STREAM BURGER,2
JUBAIL CROSS,2
JUICE FLASE,2
Juman Restaurant to serve meals,2
Kafaa Arabia Company for Operation and Maintenance is a one person company,2
Kaisab company Ltd Group,2
KAJ CONTRACTING ESTABLISHMENT,2
KAMAR AL-YAMAMAM CO.GROUP 13RD ,2
Kanoo Terminal Services,2
Kayan Supply Trading Company,2
KFAAH FOR OPERATION & MAINTENANCE,2
Khafif,2
KHAFIF FOOD COMPANY,2
KHALED A.ALMULHEM&BROS. CO,2
KHALIANAHUL DESSERT SHOP,2
KHALID AND ABDUL AZIZ A AL OMRAN CO,2
Khalid Saeed Bin Mohammed Al Qahtani General Contracting Est,2
KIND OF COFEE ESTABLISHMENT TO PROVIDE DRINKS,2
King of Juices chain establishment to provide drinks,2
KINGDOM PAULTRY FARM & AGRICULTURE,2
KISS THE TIRAMISU,2
LA VIEILLE,2
Laila Madi Muhammad Al-Subaie's laundry,2
LAMMAT FOOD,2
LAND SUPPLY,2
LAND SUPPLY CORPORATION,2
Lareen Flowers Foundation for weddings and events,2
LATIF PASTRY,2
LAUNDRY COLD RIVER OF WASHING CLOTHES,2
LE FOURNAIL RESTURANT,2
Leading Horizon General Contracting Est,2
"LEHAM CO FOR TRADING, INDUSTRY& CONTRACTING",2
LIME& SANDLIME BRICKS CO LTD,2
Lina Ali Yahya Al Harbi Architectural Contracting Est,2
Lina Faleh Saeed Al Shahrani Foundation for catering services,2
